[2025-05-07 21:00:01] [INFO    ] discord.client: logging in using static token
[2025-05-07 21:00:01] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-05-07 21:00:01] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-05-07 21:00:01] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1369681032931971143', 'username': 'talking_bot', 'avatar': None, 'discriminator': '2210', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-05-07 21:00:03] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-05-07 21:00:03] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-05-07 21:00:03] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1369681032931971143', 'name': 'talking_bot', 'icon': None, 'description': '', 'type': None, 'bot': {'id': '1369681032931971143', 'username': 'talking_bot', 'avatar': None, 'discriminator': '2210', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '8f631944495847426930328079a303416af75a90d459bf2f0672b2f4874c2677', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '745279163702968381', 'username': 'theekshana4180', 'avatar': 'dfbd089e8126d1059f1ae9e3cf9ee5f3', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'theekshana', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 1, 'approximate_user_install_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 224, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': []}
[2025-05-07 21:00:04] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-05-07 21:00:04] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-us-east1-d-04vp",{"micros":0.0}]']}}
[2025-05-07 21:00:04] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-05-07 21:00:04] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-05-07 21:00:04] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'talking_bot', 'primary_guild': None, 'mfa_enabled': False, 'id': '1369681032931971143', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '2210', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': 'd705d194a11daa9867238b12e561ba47', 'resume_gateway_url': 'wss://gateway-us-east1-d.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1369683987509022731'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['india', 'singapore', 'dubai', 'hongkong', 'tel-aviv'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1369681032931971143', 'flags': 557056}, '_trace': ['["gateway-prd-us-east1-d-04vp",{"micros":233124,"calls":["id_created",{"micros":1043,"calls":[]},"session_lookup_time",{"micros":634,"calls":[]},"session_lookup_finished",{"micros":17,"calls":[]},"discord-sessions-prd-2-150",{"micros":230281,"calls":["start_session",{"micros":216280,"calls":["discord-api-rpc-769d7bc6fc-8b2lq",{"micros":186080,"calls":["get_user",{"micros":10560},"get_guilds",{"micros":30786},"send_scheduled_deletion_message",{"micros":5},"guild_join_requests",{"micros":43362},"authorized_ip_coro",{"micros":5},"pending_payments",{"micros":874},"apex_user_experiments",{"micros":2},"user_activities",{"micros":1}]}]},"starting_guild_connect",{"micros":28,"calls":[]},"presence_started",{"micros":4066,"calls":[]},"guilds_started",{"micros":115,"calls":[]},"lobbies_started",{"micros":2,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":9767,"calls":[]},"connect_finished",{"micros":9776,"calls":[]},"build_ready",{"micros":11,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2025-05-07 21:00:04] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-07 21:00:04] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: d705d194a11daa9867238b12e561ba47).
[2025-05-07 21:00:04] [DEBUG   ] discord.client: Dispatching event connect
